id,Klassifikation_ID,Hauptkategorie,Unterkategorie,Beschreibung,Standard_Prio,Zielpostfach,Zielordner,Aktion_ID,Notiz,createdAt,updatedAt
1,SPAM_PHISHING,Spam,Phishing,"Täuschende Nachricht, die zu Preisgabe von Zugangsdaten, Zahlungen, Downloads oder anderen riskanten Handlungen verleiten soll.",spam,info@dreikraut.de,KI-Spam,MAIL_VERSCHIEBEN,,2026-07-09T10:46:44.566Z,2026-07-09T18:33:54.373Z
2,SPAM_BETRUG,Spam,Betrugsversuch,"Offensichtlich fingiertes Geschäftsangebot, Identitätstäuschung, Vorschussbetrug oder vergleichbarer betrügerischer Kontakt.",spam,info@dreikraut.de,KI-Spam,MAIL_VERSCHIEBEN,,2026-07-09T10:46:44.566Z,2026-07-09T18:33:56.475Z
3,SPAM_WERBUNG,Spam,Unerwünschte Werbung,"Unverlangte kommerzielle Werbung, Werbe-Newsletter, Affiliate-Werbung, Abnehmangebote, Gewinnspiele oder Verkaufsaktionen ohne erkennbaren Bezug zu dreikraut. Hat Vorrang vor MARKETING_NEWSLETTER, wenn die Nachricht unerwünscht oder offensichtlich massenhaft versandt ist.",spam,info@dreikraut.de,KI-Spam,MAIL_VERSCHIEBEN,,2026-07-09T10:46:44.566Z,2026-07-09T18:57:52.117Z
4,KUNDE_TRACKING,Kundenservice,Versandstatus und Tracking,"Kunde fragt nach Versand, Lieferstatus, Paketverfolgung oder einer fehlenden Trackingnummer zu einer bestehenden Bestellung.",normal,service@dreikraut.de,INBOX,MAIL_VERSCHIEBEN,,2026-07-09T10:46:44.566Z,2026-07-10T09:31:13.642Z
5,KUNDE_REKLAMATION,Kundenservice,Reklamation,"Beanstandung zu Produktqualität, falschem Artikel, beschädigter Ware, fehlender Menge oder sonstigem Produktmangel, zu verspäteter oder fehlgeschlagener Lieferung.",hoch,service@dreikraut.de,INBOX,MAIL_VERSCHIEBEN,,2026-07-09T10:46:44.566Z,2026-07-10T09:31:16.017Z
7,KUNDE_PRODUKTFRAGE,Kundenservice,Produkt- und Anwendungsfrage,"Frage zu Eigenschaften, Zutaten, Anwendung, Dosierung, Herkunft, Eignung oder Unterschieden zwischen Produkten.",normal,service@dreikraut.de,INBOX,MAIL_VERSCHIEBEN,,2026-07-09T10:46:44.566Z,2026-07-10T09:31:17.250Z
8,KUNDE_WIDERRUF_RETOURE,Kundenservice,Widerruf und Retoure,"Kunde widerruft, möchte Ware zurücksenden oder fragt nach Rückgabe, Erstattung oder dem Rücksendeablauf.",normal,service@dreikraut.de,INBOX,MAIL_VERSCHIEBEN,,2026-07-09T10:46:44.566Z,2026-07-10T09:31:18.821Z
9,KUNDE_AENDERUNG_STORNO,Kundenservice,Änderung oder Stornierung,"Kunde möchte Lieferadresse, Artikel, Menge, Zahlungsart oder Bestellung ändern beziehungsweise stornieren.",hoch,service@dreikraut.de,INBOX,MAIL_VERSCHIEBEN,,2026-07-09T10:46:44.566Z,2026-07-10T09:31:20.030Z
10,KUNDE_RECHNUNG_ZAHLUNG,Kundenservice,Rechnung und Zahlung,"Kundenfrage zu Rechnung, Zahlungsbestätigung, Zahlungsart, Rückerstattung oder benötigter Rechnungskopie. Außerdem Mails von uns an unsere Kunden zu Zahlungsangelegenheiten.",normal,service@dreikraut.de,INBOX,MAIL_VERSCHIEBEN,,2026-07-09T10:46:44.566Z,2026-07-13T08:00:49.982Z
11,KUNDE_REZENSION_FEEDBACK,Kundenservice,Rezension und Feedback,"Hinweis von Kunden auf eine Rezension, Produktbewertung, Lob, Verbesserungsvorschlag oder allgemeines Kundenfeedback. Die Kunden können dabei im Onlineshop, auf Amazon oder auf einer anderen Plattform bestellt und bewertet haben oder auch einfach nur eine Bewertungsbestätigung von Amazon weiterleiten.",niedrig,service@dreikraut.de,INBOX,MAIL_VERSCHIEBEN,,2026-07-09T10:46:44.566Z,2026-07-10T09:31:22.522Z
